Codepoint,Property,Status,Description
0469,PVALID,,CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS
046A,DISALLOWED,,CYRILLIC CAPITAL LETTER BIG YUS
046B,PVALID,,CYRILLIC SMALL LETTER BIG YUS
046C,DISALLOWED,,CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
046D,PVALID,,CYRILLIC SMALL LETTER IOTIFIED BIG YUS
046E,DISALLOWED,,CYRILLIC CAPITAL LETTER KSI
046F,PVALID,,CYRILLIC SMALL LETTER KSI
0470,DISALLOWED,,CYRILLIC CAPITAL LETTER PSI
0471,PVALID,,CYRILLIC SMALL LETTER PSI
0472,DISALLOWED,,CYRILLIC CAPITAL LETTER FITA
0473,PVALID,,CYRILLIC SMALL LETTER FITA
0474,DISALLOWED,,CYRILLIC CAPITAL LETTER IZHITSA
0475,PVALID,,CYRILLIC SMALL LETTER IZHITSA
0476,DISALLOWED,,CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0477,PVALID,,CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0478,DISALLOWED,,CYRILLIC CAPITAL LETTER UK
0479,PVALID,,CYRILLIC SMALL LETTER UK
047A,DISALLOWED,,CYRILLIC CAPITAL LETTER ROUND OMEGA
047B,PVALID,,CYRILLIC SMALL LETTER ROUND OMEGA
047C,DISALLOWED,,CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
047D,PVALID,,CYRILLIC SMALL LETTER OMEGA WITH TITLO
047E,DISALLOWED,,CYRILLIC CAPITAL LETTER OT
047F,PVALID,,CYRILLIC SMALL LETTER OT
0480,DISALLOWED,,CYRILLIC CAPITAL LETTER KOPPA
0481,PVALID,,CYRILLIC SMALL LETTER KOPPA
0482,DISALLOWED,,CYRILLIC THOUSANDS SIGN
0483-0487,PVALID,,COMBINING CYRILLIC TITLO..COMBINING CYRILLIC POKRYTIE
0488-048A,DISALLOWED,,COMBINING CYRILLIC HUNDRED THOUSANDS SIGN..CYRILLIC CAPITAL LETTER SHORT I WITH TAIL
048B,PVALID,,CYRILLIC SMALL LETTER SHORT I WITH TAIL
048C,DISALLOWED,,CYRILLIC CAPITAL LETTER SEMISOFT SIGN
048D,PVALID,,CYRILLIC SMALL LETTER SEMISOFT SIGN
048E,DISALLOWED,,CYRILLIC CAPITAL LETTER ER WITH TICK
048F,PVALID,,CYRILLIC SMALL LETTER ER WITH TICK
0490,DISALLOWED,,CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0491,PVALID,,CYRILLIC SMALL LETTER GHE WITH UPTURN
0492,DISALLOWED,,CYRILLIC CAPITAL LETTER GHE WITH STROKE
0493,PVALID,,CYRILLIC SMALL LETTER GHE WITH STROKE
0494,DISALLOWED,,CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
0495,PVALID,,CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK
0496,DISALLOWED,,CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
0497,PVALID,,CYRILLIC SMALL LETTER ZHE WITH DESCENDER
0498,DISALLOWED,,CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
0499,PVALID,,CYRILLIC SMALL LETTER ZE WITH DESCENDER
049A,DISALLOWED,,CYRILLIC CAPITAL LETTER KA WITH DESCENDER
049B,PVALID,,CYRILLIC SMALL LETTER KA WITH DESCENDER
049C,DISALLOWED,,CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
049D,PVALID,,CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE
049E,DISALLOWED,,CYRILLIC CAPITAL LETTER KA WITH STROKE
049F,PVALID,,CYRILLIC SMALL LETTER KA WITH STROKE
04A0,DISALLOWED,,CYRILLIC CAPITAL LETTER BASHKIR KA
04A1,PVALID,,CYRILLIC SMALL LETTER BASHKIR KA
04A2,DISALLOWED,,CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04A3,PVALID,,CYRILLIC SMALL LETTER EN WITH DESCENDER
04A4,DISALLOWED,,CYRILLIC CAPITAL LIGATURE EN GHE
04A5,PVALID,,CYRILLIC SMALL LIGATURE EN GHE
04A6,DISALLOWED,,CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
04A7,PVALID,,CYRILLIC SMALL LETTER PE WITH MIDDLE HOOK
04A8,DISALLOWED,,CYRILLIC CAPITAL LETTER ABKHASIAN HA
04A9,PVALID,,CYRILLIC SMALL LETTER ABKHASIAN HA
04AA,DISALLOWED,,CYRILLIC CAPITAL LETTER ES WITH DESCENDER
04AB,PVALID,,CYRILLIC SMALL LETTER ES WITH DESCENDER
04AC,DISALLOWED,,CYRILLIC CAPITAL LETTER TE WITH DESCENDER
04AD,PVALID,,CYRILLIC SMALL LETTER TE WITH DESCENDER
04AE,DISALLOWED,,CYRILLIC CAPITAL LETTER STRAIGHT U
04AF,PVALID,,CYRILLIC SMALL LETTER STRAIGHT U
04B0,DISALLOWED,,CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
04B1,PVALID,,CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04B2,DISALLOWED,,CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04B3,PVALID,,CYRILLIC SMALL LETTER HA WITH DESCENDER
04B4,DISALLOWED,,CYRILLIC CAPITAL LIGATURE TE TSE
04B5,PVALID,,CYRILLIC SMALL LIGATURE TE TSE
04B6,DISALLOWED,,CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
04B7,PVALID,,CYRILLIC SMALL LETTER CHE WITH DESCENDER
04B8,DISALLOWED,,CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
04B9,PVALID,,CYRILLIC SMALL LETTER CHE WITH VERTICAL STROKE
04BA,DISALLOWED,,CYRILLIC CAPITAL LETTER SHHA
04BB,PVALID,,CYRILLIC SMALL LETTER SHHA
04BC,DISALLOWED,,CYRILLIC CAPITAL LETTER ABKHASIAN CHE
04BD,PVALID,,CYRILLIC SMALL LETTER ABKHASIAN CHE
04BE,DISALLOWED,,CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
04BF,PVALID,,CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER
04C0-04C1,DISALLOWED,,CYRILLIC LETTER PALOCHKA..CYRILLIC CAPITAL LETTER ZHE WITH BREVE
04C2,PVALID,,CYRILLIC SMALL LETTER ZHE WITH BREVE
04C3,DISALLOWED,,CYRILLIC CAPITAL LETTER KA WITH HOOK
04C4,PVALID,,CYRILLIC SMALL LETTER KA WITH HOOK
04C5,DISALLOWED,,CYRILLIC CAPITAL LETTER EL WITH TAIL
04C6,PVALID,,CYRILLIC SMALL LETTER EL WITH TAIL
04C7,DISALLOWED,,CYRILLIC CAPITAL LETTER EN WITH HOOK
04C8,PVALID,,CYRILLIC SMALL LETTER EN WITH HOOK
04C9,DISALLOWED,,CYRILLIC CAPITAL LETTER EN WITH TAIL
04CA,PVALID,,CYRILLIC SMALL LETTER EN WITH TAIL
04CB,DISALLOWED,,CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
04CC,PVALID,,CYRILLIC SMALL LETTER KHAKASSIAN CHE
04CD,DISALLOWED,,CYRILLIC CAPITAL LETTER EM WITH TAIL
04CE-04CF,PVALID,,CYRILLIC SMALL LETTER EM WITH TAIL..CYRILLIC SMALL LETTER PALOCHKA
04D0,DISALLOWED,,CYRILLIC CAPITAL LETTER A WITH BREVE
04D1,PVALID,,CYRILLIC SMALL LETTER A WITH BREVE
04D2,DISALLOWED,,CYRILLIC CAPITAL LETTER A WITH DIAERESIS
04D3,PVALID,,CYRILLIC SMALL LETTER A WITH DIAERESIS
04D4,DISALLOWED,,CYRILLIC CAPITAL LIGATURE A IE
04D5,PVALID,,CYRILLIC SMALL LIGATURE A IE
04D6,DISALLOWED,,CYRILLIC CAPITAL LETTER IE WITH BREVE
04D7,PVALID,,CYRILLIC SMALL LETTER IE WITH BREVE
04D8,DISALLOWED,,CYRILLIC CAPITAL LETTER SCHWA
04D9,PVALID,,CYRILLIC SMALL LETTER SCHWA
04DA,DISALLOWED,,CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
04DB,PVALID,,CYRILLIC SMALL LETTER SCHWA WITH DIAERESIS
04DC,DISALLOWED,,CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
04DD,PVALID,,CYRILLIC SMALL LETTER ZHE WITH DIAERESIS
04DE,DISALLOWED,,CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
04DF,PVALID,,CYRILLIC SMALL LETTER ZE WITH DIAERESIS
04E0,DISALLOWED,,CYRILLIC CAPITAL LETTER ABKHASIAN DZE
04E1,PVALID,,CYRILLIC SMALL LETTER ABKHASIAN DZE
04E2,DISALLOWED,,CYRILLIC CAPITAL LETTER I WITH MACRON
04E3,PVALID,,CYRILLIC SMALL LETTER I WITH MACRON
04E4,DISALLOWED,,CYRILLIC CAPITAL LETTER I WITH DIAERESIS
04E5,PVALID,,CYRILLIC SMALL LETTER I WITH DIAERESIS
04E6,DISALLOWED,,CYRILLIC CAPITAL LETTER O WITH DIAERESIS
04E7,PVALID,,CYRILLIC SMALL LETTER O WITH DIAERESIS
04E8,DISALLOWED,,CYRILLIC CAPITAL LETTER BARRED O
04E9,PVALID,,CYRILLIC SMALL LETTER BARRED O
04EA,DISALLOWED,,CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
04EB,PVALID,,CYRILLIC SMALL LETTER BARRED O WITH DIAERESIS
04EC,DISALLOWED,,CYRILLIC CAPITAL LETTER E WITH DIAERESIS
04ED,PVALID,,CYRILLIC SMALL LETTER E WITH DIAERESIS
04EE,DISALLOWED,,CYRILLIC CAPITAL LETTER U WITH MACRON
04EF,PVALID,,CYRILLIC SMALL LETTER U WITH MACRON
04F0,DISALLOWED,,CYRILLIC CAPITAL LETTER U WITH DIAERESIS
04F1,PVALID,,CYRILLIC SMALL LETTER U WITH DIAERESIS
04F2,DISALLOWED,,CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
04F3,PVALID,,CYRILLIC SMALL LETTER U WITH DOUBLE ACUTE
04F4,DISALLOWED,,CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
04F5,PVALID,,CYRILLIC SMALL LETTER CHE WITH DIAERESIS
04F6,DISALLOWED,,CYRILLIC CAPITAL LETTER GHE WITH DESCENDER
04F7,PVALID,,CYRILLIC SMALL LETTER GHE WITH DESCENDER
04F8,DISALLOWED,,CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
04F9,PVALID,,CYRILLIC SMALL LETTER YERU WITH DIAERESIS
04FA,DISALLOWED,,CYRILLIC CAPITAL LETTER GHE WITH STROKE AND HOOK
04FB,PVALID,,CYRILLIC SMALL LETTER GHE WITH STROKE AND HOOK
04FC,DISALLOWED,,CYRILLIC CAPITAL LETTER HA WITH HOOK
04FD,PVALID,,CYRILLIC SMALL LETTER HA WITH HOOK
04FE,DISALLOWED,,CYRILLIC CAPITAL LETTER HA WITH STROKE
04FF,PVALID,,CYRILLIC SMALL LETTER HA WITH STROKE
0500,DISALLOWED,,CYRILLIC CAPITAL LETTER KOMI DE
0501,PVALID,,CYRILLIC SMALL LETTER KOMI DE
0502,DISALLOWED,,CYRILLIC CAPITAL LETTER KOMI DJE
0503,PVALID,,CYRILLIC SMALL LETTER KOMI DJE
0504,DISALLOWED,,CYRILLIC CAPITAL LETTER KOMI ZJE
0505,PVALID,,CYRILLIC SMALL LETTER KOMI ZJE
0506,DISALLOWED,,CYRILLIC CAPITAL LETTER KOMI DZJE
0507,PVALID,,CYRILLIC SMALL LETTER KOMI DZJE
0508,DISALLOWED,,CYRILLIC CAPITAL LETTER KOMI LJE
0509,PVALID,,CYRILLIC SMALL LETTER KOMI LJE
050A,DISALLOWED,,CYRILLIC CAPITAL LETTER KOMI NJE
050B,PVALID,,CYRILLIC SMALL LETTER KOMI NJE
050C,DISALLOWED,,CYRILLIC CAPITAL LETTER KOMI SJE
050D,PVALID,,CYRILLIC SMALL LETTER KOMI SJE
050E,DISALLOWED,,CYRILLIC CAPITAL LETTER KOMI TJE
050F,PVALID,,CYRILLIC SMALL LETTER KOMI TJE
0510,DISALLOWED,,CYRILLIC CAPITAL LETTER REVERSED ZE
0511,PVALID,,CYRILLIC SMALL LETTER REVERSED ZE
0512,DISALLOWED,,CYRILLIC CAPITAL LETTER EL WITH HOOK
0513,PVALID,,CYRILLIC SMALL LETTER EL WITH HOOK
0514,DISALLOWED,,CYRILLIC CAPITAL LETTER LHA
0515,PVALID,,CYRILLIC SMALL LETTER LHA
0516,DISALLOWED,,CYRILLIC CAPITAL LETTER RHA
0517,PVALID,,CYRILLIC SMALL LETTER RHA
0518,DISALLOWED,,CYRILLIC CAPITAL LETTER YAE
0519,PVALID,,CYRILLIC SMALL LETTER YAE
051A,DISALLOWED,,CYRILLIC CAPITAL LETTER QA
051B,PVALID,,CYRILLIC SMALL LETTER QA
051C,DISALLOWED,,CYRILLIC CAPITAL LETTER WE
051D,PVALID,,CYRILLIC SMALL LETTER WE
051E,DISALLOWED,,CYRILLIC CAPITAL LETTER ALEUT KA
051F,PVALID,,CYRILLIC SMALL LETTER ALEUT KA
0520,DISALLOWED,,CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK
0521,PVALID,,CYRILLIC SMALL LETTER EL WITH MIDDLE HOOK
0522,DISALLOWED,,CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK
0523,PVALID,,CYRILLIC SMALL LETTER EN WITH MIDDLE HOOK
0524,DISALLOWED,,CYRILLIC CAPITAL LETTER PE WITH DESCENDER
0525,PVALID,,CYRILLIC SMALL LETTER PE WITH DESCENDER
0526,DISALLOWED,,CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER
0527,PVALID,,CYRILLIC SMALL LETTER SHHA WITH DESCENDER
0528,DISALLOWED,,CYRILLIC CAPITAL LETTER EN WITH LEFT HOOK
0529,PVALID,,CYRILLIC SMALL LETTER EN WITH LEFT HOOK
052A,DISALLOWED,,CYRILLIC CAPITAL LETTER DZZHE
052B,PVALID,,CYRILLIC SMALL LETTER DZZHE
052C,DISALLOWED,,CYRILLIC CAPITAL LETTER DCHE
052D,PVALID,,CYRILLIC SMALL LETTER DCHE
052E,DISALLOWED,,CYRILLIC CAPITAL LETTER EL WITH DESCENDER
052F,PVALID,,CYRILLIC SMALL LETTER EL WITH DESCENDER
0530,UNASSIGNED,,<RESERVED>
0531-0556,DISALLOWED,,ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0557-0558,UNASSIGNED,,<RESERVED>..<RESERVED>
0559,PVALID,,ARMENIAN MODIFIER LETTER LEFT HALF RING
055A-055F,DISALLOWED,,ARMENIAN APOSTROPHE..ARMENIAN ABBREVIATION MARK
0560-0586,PVALID,,ARMENIAN SMALL LETTER TURNED AYB..ARMENIAN SMALL LETTER FEH
0587,DISALLOWED,,ARMENIAN SMALL LIGATURE ECH YIWN
0588,PVALID,,ARMENIAN SMALL LETTER YI WITH STROKE
0589-058A,DISALLOWED,,ARMENIAN FULL STOP..ARMENIAN HYPHEN
058B-058C,UNASSIGNED,,<RESERVED>..<RESERVED>
058D-058F,DISALLOWED,,RIGHT-FACING ARMENIAN ETERNITY SIGN..ARMENIAN DRAM SIGN
0590,UNASSIGNED,,<RESERVED>
0591-05BD,PVALID,,HEBREW ACCENT ETNAHTA..HEBREW POINT METEG
05BE,DISALLOWED,,HEBREW PUNCTUATION MAQAF
05BF,PVALID,,HEBREW POINT RAFE
05C0,DISALLOWED,,HEBREW PUNCTUATION PASEQ
05C1-05C2,PVALID,,HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C3,DISALLOWED,,HEBREW PUNCTUATION SOF PASUQ
05C4-05C5,PVALID,,HEBREW MARK UPPER DOT..HEBREW MARK LOWER DOT
05C6,DISALLOWED,,HEBREW PUNCTUATION NUN HAFUKHA
05C7,PVALID,,HEBREW POINT QAMATS QATAN
05C8-05CF,UNASSIGNED,,<RESERVED>..<RESERVED>
05D0-05EA,PVALID,,HEBREW LETTER ALEF..HEBREW LETTER TAV
05EB-05EE,UNASSIGNED,,<RESERVED>..<RESERVED>
05EF-05F2,PVALID,,HEBREW YOD TRIANGLE..HEBREW LIGATURE YIDDISH DOUBLE YOD
05F3-05F4,CONTEXTO,,HEBREW PUNCTUATION GERESH..HEBREW PUNCTUATION GERSHAYIM
05F5-05FF,UNASSIGNED,,<RESERVED>..<RESERVED>
0600-060F,DISALLOWED,,ARABIC NUMBER SIGN..ARABIC SIGN MISRA
0610-061A,PVALID,,ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM..ARABIC SMALL KASRA
061B-061C,DISALLOWED,,ARABIC SEMICOLON..ARABIC LETTER MARK
061D,UNASSIGNED,,<RESERVED>
061E-061F,DISALLOWED,,ARABIC TRIPLE DOT PUNCTUATION MARK..ARABIC QUESTION MARK
0620-063F,PVALID,,ARABIC LETTER KASHMIRI YEH..ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
0640,DISALLOWED,,ARABIC TATWEEL
0641-065F,PVALID,,ARABIC LETTER FEH..ARABIC WAVY HAMZA BELOW
0660-0669,CONTEXTO,,ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
066A-066D,DISALLOWED,,ARABIC PERCENT SIGN..ARABIC FIVE POINTED STAR
066E-0674,PVALID,,ARABIC LETTER DOTLESS BEH..ARABIC LETTER HIGH HAMZA
0675-0678,DISALLOWED,,ARABIC LETTER HIGH HAMZA ALEF..ARABIC LETTER HIGH HAMZA YEH
0679-06D3,PVALID,,ARABIC LETTER TTEH..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D4,DISALLOWED,,ARABIC FULL STOP
06D5-06DC,PVALID,,ARABIC LETTER AE..ARABIC SMALL HIGH SEEN
06DD-06DE,DISALLOWED,,ARABIC END OF AYAH..ARABIC START OF RUB EL HIZB
06DF-06E8,PVALID,,ARABIC SMALL HIGH ROUNDED ZERO..ARABIC SMALL HIGH NOON
06E9,DISALLOWED,,ARABIC PLACE OF SAJDAH
06EA-06EF,PVALID,,ARABIC EMPTY CENTRE LOW STOP..ARABIC LETTER REH WITH INVERTED V
06F0-06F9,CONTEXTO,,EXTENDED ARABIC-INDIC DIGIT ZERO..EXTENDED ARABIC-INDIC DIGIT NINE
06FA-06FF,PVALID,,ARABIC LETTER SHEEN WITH DOT BELOW..ARABIC LETTER HEH WITH INVERTED V
0700-070D,DISALLOWED,,SYRIAC END OF PARAGRAPH..SYRIAC HARKLEAN ASTERISCUS
070E,UNASSIGNED,,<RESERVED>
070F,DISALLOWED,,SYRIAC ABBREVIATION MARK
0710-074A,PVALID,,SYRIAC LETTER ALAPH..SYRIAC BARREKH
074B-074C,UNASSIGNED,,<RESERVED>..<RESERVED>
074D-07B1,PVALID,,SYRIAC LETTER SOGDIAN ZHAIN..THAANA LETTER NAA
07B2-07BF,UNASSIGNED,,<RESERVED>..<RESERVED>
07C0-07F5,PVALID,,NKO DIGIT ZERO..NKO LOW TONE APOSTROPHE
07F6-07FA,DISALLOWED,,NKO SYMBOL OO DENNEN..NKO LAJANYALAN
07FB-07FC,UNASSIGNED,,<RESERVED>..<RESERVED>
07FD,PVALID,,NKO DANTAYALAN
07FE-07FF,DISALLOWED,,NKO DOROME SIGN..NKO TAMAN SIGN
0800-082D,PVALID,,SAMARITAN LETTER ALAF..SAMARITAN MARK NEQUDAA
082E-082F,UNASSIGNED,,<RESERVED>..<RESERVED>
0830-083E,DISALLOWED,,SAMARITAN PUNCTUATION NEQUDAA..SAMARITAN PUNCTUATION ANNAAU
083F,UNASSIGNED,,<RESERVED>
0840-085B,PVALID,,MANDAIC LETTER HALQA..MANDAIC GEMINATION MARK
085C-085D,UNASSIGNED,,<RESERVED>..<RESERVED>
085E,DISALLOWED,,MANDAIC PUNCTUATION
085F,UNASSIGNED,,<RESERVED>
0860-086A,PVALID,,SYRIAC LETTER MALAYALAM NGA..SYRIAC LETTER MALAYALAM SSA
086B-089F,UNASSIGNED,,<RESERVED>..<RESERVED>
08A0-08B4,PVALID,,ARABIC LETTER BEH WITH SMALL V BELOW..ARABIC LETTER KAF WITH DOT BELOW
08B5,UNASSIGNED,,<RESERVED>
08B6-08BD,PVALID,,ARABIC LETTER BEH WITH SMALL MEEM ABOVE..ARABIC LETTER AFRICAN NOON
08BE-08D2,UNASSIGNED,,<RESERVED>..<RESERVED>
08D3-08E1,PVALID,,ARABIC SMALL LOW WAW..ARABIC SMALL HIGH SIGN SAFHA
08E2,DISALLOWED,,ARABIC DISPUTED END OF AYAH
08E3-0957,PVALID,,ARABIC TURNED DAMMA BELOW..DEVANAGARI VOWEL SIGN UUE
0958-095F,DISALLOWED,,DEVANAGARI LETTER QA..DEVANAGARI LETTER YYA
0960-0963,PVALID,,DEVANAGARI LETTER VOCALIC RR..DEVANAGARI VOWEL SIGN VOCALIC LL
0964-0965,DISALLOWED,,DEVANAGARI DANDA..DEVANAGARI DOUBLE DANDA
0966-096F,PVALID,,DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
0970,DISALLOWED,,DEVANAGARI ABBREVIATION SIGN
0971-0983,PVALID,,DEVANAGARI SIGN HIGH SPACING DOT..BENGALI SIGN VISARGA
0984,UNASSIGNED,,<RESERVED>
0985-098C,PVALID,,BENGALI LETTER A..BENGALI LETTER VOCALIC L
098D-098E,UNASSIGNED,,<RESERVED>..<RESERVED>
098F-0990,PVALID,,BENGALI LETTER E..BENGALI LETTER AI
0991-0992,UNASSIGNED,,<RESERVED>..<RESERVED>
0993-09A8,PVALID,,BENGALI LETTER O..BENGALI LETTER NA
09A9,UNASSIGNED,,<RESERVED>
09AA-09B0,PVALID,,BENGALI LETTER PA..BENGALI LETTER RA
09B1,UNASSIGNED,,<RESERVED>
09B2,PVALID,,BENGALI LETTER LA
09B3-09B5,UNASSIGNED,,<RESERVED>..<RESERVED>
09B6-09B9,PVALID,,BENGALI LETTER SHA..BENGALI LETTER HA
09BA-09BB,UNASSIGNED,,<RESERVED>..<RESERVED>
09BC-09C4,PVALID,,BENGALI SIGN NUKTA..BENGALI VOWEL SIGN VOCALIC RR
09C5-09C6,UNASSIGNED,,<RESERVED>..<RESERVED>
09C7-09C8,PVALID,,BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09C9-09CA,UNASSIGNED,,<RESERVED>..<RESERVED>
09CB-09CE,PVALID,,BENGALI VOWEL SIGN O..BENGALI LETTER KHANDA TA
09CF-09D6,UNASSIGNED,,<RESERVED>..<RESERVED>
09D7,PVALID,,BENGALI AU LENGTH MARK
09D8-09DB,UNASSIGNED,,<RESERVED>..<RESERVED>
09DC-09DD,DISALLOWED,,BENGALI LETTER RRA..BENGALI LETTER RHA
09DE,UNASSIGNED,,<RESERVED>
09DF,DISALLOWED,,BENGALI LETTER YYA
09E0-09E3,PVALID,,BENGALI LETTER VOCALIC RR..BENGALI VOWEL SIGN VOCALIC LL
09E4-09E5,UNASSIGNED,,<RESERVED>..<RESERVED>
09E6-09F1,PVALID,,BENGALI DIGIT ZERO..BENGALI LETTER RA WITH LOWER DIAGONAL
09F2-09FB,DISALLOWED,,BENGALI RUPEE MARK..BENGALI GANDA MARK
09FC,PVALID,,BENGALI LETTER VEDIC ANUSVARA
09FD,DISALLOWED,,BENGALI ABBREVIATION SIGN
09FE,PVALID,,BENGALI SANDHI MARK
09FF-0A00,UNASSIGNED,,<RESERVED>..<RESERVED>
0A01-0A03,PVALID,,GURMUKHI SIGN ADAK BINDI..GURMUKHI SIGN VISARGA
0A04,UNASSIGNED,,<RESERVED>
0A05-0A0A,PVALID,,GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0B-0A0E,UNASSIGNED,,<RESERVED>..<RESERVED>
0A0F-0A10,PVALID,,GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A11-0A12,UNASSIGNED,,<RESERVED>..<RESERVED>
0A13-0A28,PVALID,,GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A29,UNASSIGNED,,<RESERVED>
0A2A-0A30,PVALID,,GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A31,UNASSIGNED,,<RESERVED>
0A32,PVALID,,GURMUKHI LETTER LA
0A33,DISALLOWED,,GURMUKHI LETTER LLA
0A34,UNASSIGNED,,<RESERVED>
0A35,PVALID,,GURMUKHI LETTER VA
0A36,DISALLOWED,,GURMUKHI LETTER SHA
0A37,UNASSIGNED,,<RESERVED>
0A38-0A39,PVALID,,GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3A-0A3B,UNASSIGNED,,<RESERVED>..<RESERVED>
0A3C,PVALID,,GURMUKHI SIGN NUKTA
0A3D,UNASSIGNED,,<RESERVED>
0A3E-0A42,PVALID,,GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN UU
0A43-0A46,UNASSIGNED,,<RESERVED>..<RESERVED>
0A47-0A48,PVALID,,GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A49-0A4A,UNASSIGNED,,<RESERVED>..<RESERVED>
0A4B-0A4D,PVALID,,GURMUKHI VOWEL SIGN OO..GURMUKHI SIGN VIRAMA
0A4E-0A50,UNASSIGNED,,<RESERVED>..<RESERVED>
0A51,PVALID,,GURMUKHI SIGN UDAAT
0A52-0A58,UNASSIGNED,,<RESERVED>..<RESERVED>
0A59-0A5B,DISALLOWED,,GURMUKHI LETTER KHHA..GURMUKHI LETTER ZA
0A5C,PVALID,,GURMUKHI LETTER RRA
0A5D,UNASSIGNED,,<RESERVED>
0A5E,DISALLOWED,,GURMUKHI LETTER FA
0A5F-0A65,UNASSIGNED,,<RESERVED>..<RESERVED>
0A66-0A75,PVALID,,GURMUKHI DIGIT ZERO..GURMUKHI SIGN YAKASH
0A76,DISALLOWED,,GURMUKHI ABBREVIATION SIGN
0A77-0A80,UNASSIGNED,,<RESERVED>..<RESERVED>
0A81-0A83,PVALID,,GUJARATI SIGN CANDRABINDU..GUJARATI SIGN VISARGA
0A84,UNASSIGNED,,<RESERVED>
0A85-0A8D,PVALID,,GUJARATI LETTER A..GUJARATI VOWEL CANDRA E
0A8E,UNASSIGNED,,<RESERVED>
0A8F-0A91,PVALID,,GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A92,UNASSIGNED,,<RESERVED>
0A93-0AA8,PVALID,,GUJARATI LETTER O..GUJARATI LETTER NA
0AA9,UNASSIGNED,,<RESERVED>
0AAA-0AB0,PVALID,,GUJARATI LETTER PA..GUJARATI LETTER RA
0AB1,UNASSIGNED,,<RESERVED>
0AB2-0AB3,PVALID,,GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB4,UNASSIGNED,,<RESERVED>
0AB5-0AB9,PVALID,,GUJARATI LETTER VA..GUJARATI LETTER HA
0ABA-0ABB,UNASSIGNED,,<RESERVED>..<RESERVED>
0ABC-0AC5,PVALID,,GUJARATI SIGN NUKTA..GUJARATI VOWEL SIGN CANDRA E
0AC6,UNASSIGNED,,<RESERVED>
0AC7-0AC9,PVALID,,GUJARATI VOWEL SIGN E..GUJARATI VOWEL SIGN CANDRA O
0ACA,UNASSIGNED,,<RESERVED>
0ACB-0ACD,PVALID,,GUJARATI VOWEL SIGN O..GUJARATI SIGN VIRAMA
0ACE-0ACF,UNASSIGNED,,<RESERVED>..<RESERVED>
0AD0,PVALID,,GUJARATI OM
0AD1-0ADF,UNASSIGNED,,<RESERVED>..<RESERVED>
0AE0-0AE3,PVALID,,GUJARATI LETTER VOCALIC RR..GUJARATI VOWEL SIGN VOCALIC LL
0AE4-0AE5,UNASSIGNED,,<RESERVED>..<RESERVED>
